,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
996,VeeTechnologies,IT Services & Consulting ,3.8,873, Job Security  ," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +38 other locations
997,Vistaar Finance,NBFC ,4.0,874," Salary & Benefits, Company Culture, Work Life Balance ",, Bangalore / Bengaluru +182 other locations
998,Pizza Hut,Hospitality ,3.9,871," Skill Development / Learning, Job Security ",, New Delhi +123 other locations
999,BGR Energy Systems,Engineering & Construction ,3.7,868,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Chennai +52 other locations
1000,Lavender Technology,IT Services & Consulting ,4.9,867," Company Culture, Work Life Balance, Promotions / Appraisal ",, Bangalore / Bengaluru +8 other locations
1001,Troikaa Pharmaceuticals,Ahmedabad +77 other locations,3.6,869, Salary & Benefits  ," Company Culture, Job Security, Work Satisfaction",
1002,Hathway,Broadcasting ,3.5,865,  ," Promotions / Appraisal, Skill Development / Learning, Salary & Benefits", Mumbai +53 other locations
1003,Lemon Tree Hotels,Hospitality ,4.1,865," Company Culture, Job Security, Skill Development / Learning ",, New Delhi +70 other locations
1004,Mastek,IT Services & Consulting ,3.5,865,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Mumbai +21 other locations
1005,Jubilant Pharmova,Pharma ,3.8,884,  , Promotions / Appraisal, Noida +57 other locations
1006,Fractal Analytics,Emerging Technologies ,4.0,867," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Bangalore / Bengaluru +17 other locations
1007,Schaeffler India,Auto Components ,4.1,869," Job Security, Work Life Balance, Skill Development / Learning  ", Promotions / Appraisal, Vadodara +19 other locations
1008,Godrej Agrovet,Agriculture ,4.0,864," Job Security, Company Culture  ", Promotions / Appraisal, Mumbai +127 other locations
1009,Perfetti Van Melle,Food Processing ,4.3,867," Company Culture, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Gurgaon / Gurugram +141 other locations
1010,HIL Limited,Building Material ,4.0,866," Job Security, Company Culture, Work Life Balance ",, Hyderabad / Secunderabad +98 other locations
1011,Deccan Fine Chemicals,Agro Chemicals ,3.7,862,  ," Company Culture, Work Satisfaction, Promotions / Appraisal", Tuni +27 other locations
1012,Leadec India,Facility Management Services ,4.0,861," Company Culture, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Pune +65 other locations
1013,VIP Industries,Retail ,3.7,861,  ," Promotions / Appraisal, Job Security, Company Culture", Mumbai +90 other locations
1014,Softenger,IT Services & Consulting ,4.0,861," Company Culture, Work Life Balance, Work Satisfaction ",, Pune +32 other locations
1015,Lakshmi Machine Works,Industrial Machinery ,3.9,861," Job Security, Skill Development / Learning, Work Life Balance  ", Promotions / Appraisal, Coimbatore +27 other locations
1016,Vertiv,Electronics Manufacturing ,3.9,858, Job Security  , Promotions / Appraisal, Pune +49 other locations
1017,FLSmidth,Chennai +22 other locations,3.7,860, Work Life Balance  ," Job Security, Promotions / Appraisal, Skill Development / Learning",
1018,C&S Electric,Electrical Equipment ,4.0,861," Job Security, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits", Noida +53 other locations
1019,Westside,Retail ,4.0,853," Job Security, Skill Development / Learning, Company Culture ",, Mumbai +103 other locations
1020, Sundaram Clayton,Auto Components ,4.0,852," Skill Development / Learning, Salary & Benefits, Company Culture  ", Promotions / Appraisal, Chennai +26 other locations
1021,DP World,Logistics ,3.8,849, Salary & Benefits  , Promotions / Appraisal, Mumbai +68 other locations
1022,Pricol,Auto Components ,3.9,847," Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Coimbatore +27 other locations
1023,Netcracker Technology,IT Services & Consulting ,3.1,849,  ," Promotions / Appraisal, Job Security, Company Culture", Hyderabad / Secunderabad +11 other locations
1024,Kinara Capital,NBFC ,4.3,847," Company Culture, Work Life Balance, Skill Development / Learning ",, Bangalore / Bengaluru +110 other locations
