,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
7800,Optimus Information,IT Services & Consulting ,4.0,115," Skill Development / Learning, Company Culture, Work Satisfaction ",, Noida +6 other locations
7801,GGK Technologies,IT Services & Consulting ,3.8,115," Job Security, Skill Development / Learning ",, Hyderabad / Secunderabad +2 other locations
7802,vSplash Techlabs,IT Services & Consulting ,2.3,115,  ," Work Life Balance, Work Satisfaction, Promotions / Appraisal", Hyderabad / Secunderabad +3 other locations
7803,Vishnu Solutions,BPO ,3.5,115,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Kolkata +1 other locations
7804,Banaras Hindu University,Education & Training ,4.5,115," Work Life Balance, Job Security, Work Satisfaction ",, Varanasi +12 other locations
7805,Alpha Corp,Real Estate ,4.4,115," Work Life Balance, Salary & Benefits, Company Culture ",, Gurgaon / Gurugram +9 other locations
7806,ITL Industries,Industrial Machinery ,3.7,116,  ," Salary & Benefits, Company Culture, Work Satisfaction", Indore +12 other locations
7807,Wysetek Systems Technologists,IT Services & Consulting ,3.7,116,  ," Work Life Balance, Work Satisfaction, Company Culture", Mumbai +11 other locations
7808,PCS-Global,Education & Training ,3.5,115,  ," Salary & Benefits, Job Security, Company Culture", Kolkata +7 other locations
7809,National Oilwell Varco,Oil & Gas ,4.0,115," Work Life Balance, Work Satisfaction, Company Culture  ", Promotions / Appraisal, Mumbai +14 other locations
7810,Go-Jek,Financial Services ,3.7,115," Work Life Balance, Salary & Benefits  "," Job Security, Promotions / Appraisal, Skill Development / Learning", Bangalore / Bengaluru +6 other locations
7811,Oxigen Services,FinTech ,3.8,116,  ," Promotions / Appraisal, Salary & Benefits", Gurgaon / Gurugram +27 other locations
7812,Alice Blue Commodities,FinTech ,3.3,115,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Bangalore / Bengaluru +20 other locations
7813,Paras Spices,Food Processing ,3.8,115, Work Life Balance  , Promotions / Appraisal, Moga +11 other locations
7814,VLink,IT Services & Consulting ,3.8,115," Salary & Benefits, Work Life Balance ",, Gurgaon / Gurugram +5 other locations
7815,Apptunix,Software Product ,3.6,97," Skill Development / Learning, Company Culture, Work Life Balance ",, Mohali +4 other locations
7816,SAG Infotech,IT Services & Consulting ,3.7,115, Job Security  ," Promotions / Appraisal, Salary & Benefits", Jaipur +6 other locations
7817,ANY Graphics,Printing & Publishing ,4.0,115," Skill Development / Learning, Salary & Benefits, Company Culture ",, Noida +18 other locations
7818,Axis Mutual Fund,Financial Services ,3.8,116, Job Security  , Promotions / Appraisal, Mumbai +37 other locations
7819,Comau,Industrial Automation ,3.5,115,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Pune +3 other locations
7820,Pratian Technologies,IT Services & Consulting ,2.4,115,  ," Promotions / Appraisal, Salary & Benefits, Work Life Balance", Bangalore / Bengaluru +4 other locations
7821,Anna University,Education & Training ,4.0,115, Work Life Balance  ," Promotions / Appraisal, Job Security, Salary & Benefits", Chennai +14 other locations
7822,IT Solutions,IT Services & Consulting ,3.7,115, Skill Development / Learning ,, New Delhi +28 other locations
7823,Monotech Systems,Printing & Publishing ,3.8,115, Job Security  ," Promotions / Appraisal, Salary & Benefits", Chennai +20 other locations
7824,APL Logistics,Logistics ,4.1,117," Work Life Balance, Job Security, Company Culture  ", Promotions / Appraisal, Chennai +28 other locations
7825,Greytrix,IT Services & Consulting ,3.7,115,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Mumbai +2 other locations
7826,Raam Group,Financial Services ,3.8,115,  ," Promotions / Appraisal, Work Life Balance", Hyderabad / Secunderabad +8 other locations
7827,Naresh Kumar & Co.,Urban Transport ,4.0,115," Skill Development / Learning, Company Culture, Work Life Balance  ", Promotions / Appraisal, Jamshedpur +21 other locations
7828,Chetak Enterprises,Engineering & Construction ,4.1,115," Work Life Balance, Company Culture, Work Satisfaction  ", Promotions / Appraisal, Mumbai +20 other locations
7829,Interactive Brokers,Financial Services ,3.4,115,  ," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Mumbai +4 other locations
7830,Aries Agro,Agro Chemicals ,4.0,115," Work Life Balance, Job Security, Skill Development / Learning ",, Mumbai +32 other locations
7831,Cachet Pharmaceuticals,Pharma ,4.0,115," Work Life Balance, Company Culture, Work Satisfaction ",, Mumbai +25 other locations
7832,Stanvac Chemicals,Chemicals ,3.3,115, Salary & Benefits  ," Work Satisfaction, Job Security, Company Culture", Gurgaon / Gurugram +24 other locations
7833,Tcg Digital Solutions,IT Services & Consulting ,3.3,115,  ," Promotions / Appraisal, Company Culture, Skill Development / Learning", Kolkata +5 other locations
7834,Csc Computer Education,Education & Training ,4.1,115," Skill Development / Learning, Work Satisfaction, Job Security ",, Chennai +41 other locations
7835,Zigma Technologies,IT Services & Consulting ,3.3,115,  ," Salary & Benefits, Promotions / Appraisal, Company Culture", Chennai +16 other locations
7836,Lion Services,Facility Management Services ,3.7,115,  ," Promotions / Appraisal, Job Security, Salary & Benefits", New Delhi +20 other locations
7837,NLMK India,Metals & Mining ,3.6,115, Salary & Benefits  ," Job Security, Promotions / Appraisal, Company Culture", Aurangabad +10 other locations
7838, International Crops Research Institute for the Semi-arid Tropics,Analytics & KPO ,4.1,115," Work Life Balance, Company Culture, Work Satisfaction  "," Promotions / Appraisal, Salary & Benefits, Job Security", Hyderabad / Secunderabad +12 other locations
7839,Revv,Internet ,3.8,115,  ," Promotions / Appraisal, Job Security", Gurgaon / Gurugram +19 other locations
7840,Revv,Internet ,3.8,115,  ," Promotions / Appraisal, Job Security", Gurgaon / Gurugram +19 other locations
7841,NLMK India,Metals & Mining ,3.6,115, Salary & Benefits  ," Job Security, Promotions / Appraisal, Company Culture", Aurangabad +10 other locations
7842,Jhajharia Nirman Limited,Bilaspur +30 other locations,4.0,115," Company Culture, Job Security, Skill Development / Learning  ", Promotions / Appraisal,
7843,PEARCE SERVICES,Telecom ,3.2,135,  ," Promotions / Appraisal, Job Security, Skill Development / Learning", Mohali +9 other locations
7844,FICCI,Government ,3.6,114,  ," Promotions / Appraisal, Salary & Benefits, Skill Development / Learning", New Delhi +13 other locations
7845,Monotype,IT Services & Consulting ,3.7,114, Work Life Balance  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Noida +3 other locations
7846,Finolex Plasson Industries,Industrial Machinery ,4.1,114, Work Life Balance  , Promotions / Appraisal, Pune +46 other locations
7847,Indiana Gratings,Import & Export ,3.9,114,  ," Promotions / Appraisal, Salary & Benefits", Pune +6 other locations
7848,Colan Infotech,IT Services & Consulting ,3.9,114, Skill Development / Learning  ," Promotions / Appraisal, Salary & Benefits", Chennai +7 other locations
7849,Forever 21,Fashion & Textile ,3.6,114,  ," Promotions / Appraisal, Work Life Balance, Work Satisfaction", New Delhi +23 other locations
7850,Institutional Shareholder Services,Analytics & KPO ,3.7,116," Work Life Balance, Job Security  "," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Mumbai +6 other locations
7851,Hawa Valves,Oil & Gas ,3.1,114,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", Mumbai +7 other locations
7852,Gini & Jony,Fashion & Textile ,3.7,114,  ," Job Security, Salary & Benefits, Work Satisfaction", Mumbai +25 other locations
7853,20 Microns,Chemicals ,4.0,114," Work Life Balance, Job Security, Salary & Benefits ",, Vadodara +12 other locations
7854,Rieco Industries,Pune +6 other locations,3.2,114,  ," Job Security, Promotions / Appraisal, Work Satisfaction",
7855,Competent Automobiles,Retail ,4.1,114, Skill Development / Learning  , Promotions / Appraisal, New Delhi +12 other locations
7856,Quality Evaluation And Systems Team,Engineering & Construction ,3.9,114," Work Life Balance, Work Satisfaction  "," Promotions / Appraisal, Salary & Benefits, Job Security", Bangalore / Bengaluru +20 other locations
7857,Meena Bazaar,Fashion & Textile ,3.3,116,  ," Promotions / Appraisal, Job Security, Work Satisfaction", New Delhi +16 other locations
7858,ADM India,Food Processing ,4.0,114," Work Life Balance, Work Satisfaction, Job Security  ", Promotions / Appraisal, Dharwad +21 other locations
7859,Quale Infotech,IT Services & Consulting ,4.5,114," Company Culture, Skill Development / Learning, Work Life Balance ",, Gurgaon / Gurugram +9 other locations
7860,Vilcart,Internet ,3.6,126,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Bangalore / Bengaluru +32 other locations
7861,SKS Fasteners,Auto Components ,3.3,126,  ," Job Security, Company Culture, Work Life Balance", Pune +5 other locations
7862,Aero Club-Woodland Store,Fashion & Textile ,3.4,121,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", New Delhi +44 other locations
7863,Mahindra Accelo,Iron & Steel ,3.5,121,  ," Promotions / Appraisal, Salary & Benefits, Work Life Balance", Pune +11 other locations
7864,Piramal Finance Sales And Service,NBFC ,4.1,141," Company Culture, Salary & Benefits, Work Life Balance ",, Mumbai +61 other locations
7865,Digiglobe Solutions,IT Services & Consulting ,4.8,114," Skill Development / Learning, Work Life Balance, Work Satisfaction ",, Hyderabad / Secunderabad +10 other locations
7866,Bajaj Electronics,Retail ,3.6,120,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Hyderabad / Secunderabad +24 other locations
7867,CGM ARIA Health Services,Noida +4 other locations,4.0,151," Work Life Balance, Skill Development / Learning, Company Culture ",,
7868,Elektrobit India,IT Services & Consulting ,3.9,127," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +1 other locations
7869,Khadi Natural Healthcare,Fitness & Wellness ,4.0,134,  , Promotions / Appraisal, New Delhi +6 other locations
7870,RineX,Bangalore / Bengaluru +12 other locations,3.2,131,  ," Promotions / Appraisal, Salary & Benefits, Work Life Balance",
7871,Bounce,Automobile ,4.0,114," Work Life Balance, Company Culture, Salary & Benefits  ", Job Security, Bangalore / Bengaluru +10 other locations
7872,bloom Hotel Group,Internet ,4.2,120," Work Life Balance, Job Security, Salary & Benefits ",, New Delhi +15 other locations
7873,ToXSL Technologies,IT Services & Consulting ,3.7,114," Work Satisfaction, Salary & Benefits ",, Mohali +15 other locations
7874,Dietech India,Industrial Machinery ,3.9,114," Skill Development / Learning, Job Security  "," Salary & Benefits, Promotions / Appraisal, Company Culture", Chennai +6 other locations
7875,The Heritage School,Education & Training ,3.7,114,  ," Promotions / Appraisal, Job Security, Salary & Benefits", New Delhi +12 other locations
7876,Udaan Technologies,IT Services & Consulting ,4.1,114," Work Life Balance, Company Culture, Skill Development / Learning  ", Job Security, Bangalore / Bengaluru +34 other locations
7877,42Gears Mobility Systems,Software Product ,4.3,114," Company Culture, Work Life Balance, Job Security ",, Bangalore / Bengaluru +4 other locations
7878,Tema India,Oil & Gas ,3.9,114, Job Security  ," Salary & Benefits, Promotions / Appraisal", Mumbai +13 other locations
7879,Nifco India,Industrial Machinery ,3.2,114,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Gurgaon / Gurugram +7 other locations
7880,Sterling Auxiliaries,Chemicals ,3.3,114,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", Bharuch +5 other locations
7881,Takahata Precision,Auto Components ,3.8,116,  ," Promotions / Appraisal, Skill Development / Learning", Neemrana +4 other locations
7882,Indian Institute of Science Education and Research,Analytics & KPO ,3.9,114, Skill Development / Learning  ," Promotions / Appraisal, Job Security", Pune +14 other locations
7883,Vsun Mobile,Telecom ,3.9,114," Skill Development / Learning, Company Culture, Work Satisfaction ",, Gurgaon / Gurugram +9 other locations
7884,Perto,Electrical Equipment ,3.6,114,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Jaipur +15 other locations
7885,Europ Assistance India,Insurance ,3.7,114,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Mumbai +7 other locations
7886,Pavna Group of Industries,Auto Components ,3.5,114,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", Aligarh +7 other locations
7887,Nikhil Adhesives,Chemicals ,4.1,115," Work Life Balance, Job Security, Salary & Benefits ",, Mumbai +31 other locations
7888,Paramount Products,Import & Export ,4.2,115," Salary & Benefits, Skill Development / Learning, Company Culture ",, New Delhi +5 other locations
7889,SONATRACH,Oil & Gas ,3.7,114, Job Security  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Hyderabad / Secunderabad +1 other locations
7890,Indian Acrylics,Chemicals ,3.7,114,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Sangrur +7 other locations
7891,Fixderma,Beauty & Personal Care ,3.6,114,  ," Company Culture, Promotions / Appraisal, Job Security", Gurgaon / Gurugram +19 other locations
7892,Poct Services,Medical Equipment ,3.9,114," Skill Development / Learning, Company Culture, Work Life Balance  ", Promotions / Appraisal, Lucknow +27 other locations
7893,Vkl Seasoning,FMCG ,3.9,114," Job Security, Salary & Benefits  "," Promotions / Appraisal, Skill Development / Learning", Kochi +14 other locations
7894,Benteler Automotive,Automobile ,4.3,114," Work Life Balance, Work Satisfaction, Job Security ",, Pune +3 other locations
7895,Classic Marble Company,Building Material ,3.8,114,  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Mumbai +12 other locations
7896,Shankar Electricals,Electrical Equipment ,3.9,115,  ," Promotions / Appraisal, Work Satisfaction", Bangalore / Bengaluru +6 other locations
7897,Rotork Controls,Industrial Machinery ,3.3,115,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Chennai +14 other locations
7898,Bhate & Raje Construction Co.,Engineering & Construction ,4.1,114," Job Security, Skill Development / Learning, Company Culture ",, Pune +4 other locations
7899,P&R Infraprojects,Engineering & Construction ,3.6,114, Skill Development / Learning  ," Salary & Benefits, Promotions / Appraisal", Chandigarh +17 other locations
7900,Benteler Automotive,Automobile ,4.3,114," Work Life Balance, Work Satisfaction, Job Security ",, Pune +3 other locations
7901,Classic Marble Company,Building Material ,3.8,114,  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Mumbai +12 other locations
7902,Kamdhenu Paints,Building Material ,3.1,114,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Gurgaon / Gurugram +38 other locations
7903,Group Surya Peb,Engineering & Construction ,3.6,114,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Pune +12 other locations
7904,Shankar Electricals,Electrical Equipment ,3.9,115,  ," Promotions / Appraisal, Work Satisfaction", Bangalore / Bengaluru +6 other locations
7905,Ivis International,Law Enforcement & Security ,3.4,114,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Hyderabad / Secunderabad +10 other locations
7906,Hills Cement Company,Engineering & Construction ,3.4,114,  ," Job Security, Promotions / Appraisal, Company Culture", Guwahati +6 other locations
7907,Cresce Technology Private Limited,Software Product ,3.8,115, Salary & Benefits ,, Gurgaon / Gurugram +2 other locations
7908,JBF Industries,Fashion & Textile ,4.0,116," Job Security, Work Life Balance, Work Satisfaction  "," Promotions / Appraisal, Salary & Benefits", Silvassa / Dadra & Nagar Haveli +5 other locations
7909,Labtron Equipment,Mumbai +6 other locations,4.0,137," Work Life Balance, Job Security, Skill Development / Learning ",,
7910,Synamedia,Software Product ,3.5,123," Work Life Balance, Company Culture  "," Job Security, Promotions / Appraisal, Work Satisfaction", Bangalore / Bengaluru +5 other locations
7911,Oman National Engineering & Investment Company,Engineering & Construction ,4.1,119," Company Culture, Job Security, Work Life Balance  ", Promotions / Appraisal, Muscat +6 other locations
7912,MAKEEN Energy,Hyderabad / Secunderabad +23 other locations,3.8,137, Job Security  ," Promotions / Appraisal, Work Life Balance, Work Satisfaction",
7913,Verinite Technologies,IT Services & Consulting ,4.1,117," Skill Development / Learning, Work Life Balance, Company Culture ",, Pune +2 other locations
7914,FreshToHome,Retail ,3.4,120,  ," Promotions / Appraisal, Salary & Benefits, Job Security", Bangalore / Bengaluru +17 other locations
7915,ABB GISL,Electrical Equipment ,4.1,114," Job Security, Work Life Balance, Company Culture  "," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +8 other locations
7916,Homi Lab,Noida +2 other locations,3.9,10,  ," Company Culture, Work Life Balance, Work Satisfaction",
7917,Veoneer India ,Auto Components ,4.0,117," Work Life Balance, Job Security, Skill Development / Learning ",, Bangalore / Bengaluru +3 other locations
7918,Chakr Innovation,Industrial Machinery ,3.1,147,  ," Job Security, Promotions / Appraisal, Work Satisfaction", Gurgaon / Gurugram +7 other locations
7919,AFour Technologies,IT Services & Consulting ,3.3,113,  ," Promotions / Appraisal, Job Security, Work Satisfaction", Pune +2 other locations
7920,Municipal Corporation of Greater Mumbai,Government ,3.6,113, Work Life Balance  ," Promotions / Appraisal, Work Satisfaction, Company Culture", Mumbai +2 other locations
7921,Deepak Foundation,Non-Profit ,3.9,113," Company Culture, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Vadodara +26 other locations
7922,ZoomRx,Analytics & KPO ,3.0,113,  ," Promotions / Appraisal, Work Satisfaction, Work Life Balance", Chennai +4 other locations
7923,Supreme Petrochem,Chemicals ,4.1,113," Job Security, Work Life Balance, Work Satisfaction ",, Mumbai +7 other locations
7924,Sarvatra Technologies,FinTech ,4.2,114," Job Security, Company Culture, Work Life Balance ",, Pune +11 other locations
7925,Securitrans India,Financial Services ,4.3,113, Work Life Balance  ," Promotions / Appraisal, Company Culture, Salary & Benefits", New Delhi +39 other locations
7926,Lot Mobiles,Retail ,3.9,113," Company Culture, Skill Development / Learning  "," Promotions / Appraisal, Salary & Benefits", Hyderabad / Secunderabad +20 other locations
7927,Cxc Infotech,Financial Services ,3.5,113,  ," Promotions / Appraisal, Salary & Benefits, Skill Development / Learning", Noida +3 other locations
7928,Smile Foundation,Non-Profit ,3.9,113," Work Life Balance, Skill Development / Learning, Work Satisfaction  "," Job Security, Promotions / Appraisal", New Delhi +25 other locations
7929,Reliable Business Solutions & Services,BPO ,2.8,113,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", Mumbai +6 other locations
7930,Hester Biosciences,Biotechnology ,3.8,113, Work Life Balance  ," Promotions / Appraisal, Skill Development / Learning, Salary & Benefits", Ahmedabad +13 other locations
7931,ICSIL,Telecom ,3.6,113,  ," Promotions / Appraisal, Job Security, Salary & Benefits", New Delhi +2 other locations
7932,iPlace,Pune +3 other locations,3.7,113, Salary & Benefits  , Job Security,
7933,Cresce Technology Private Limited,Software Product ,3.8,115, Salary & Benefits ,, Gurgaon / Gurugram +2 other locations
7934,Meenakshi Mission Hospital & Research Centre,Healthcare ,4.3,121," Job Security, Skill Development / Learning, Work Life Balance ",, Madurai +9 other locations
7935,Paisalo Digital,NBFC ,3.8,120,  ," Promotions / Appraisal, Salary & Benefits", Agra +38 other locations
7936,Synamedia,Software Product ,3.5,123," Work Life Balance, Company Culture  "," Job Security, Promotions / Appraisal, Work Satisfaction", Bangalore / Bengaluru +5 other locations
7937,SBL Knowledge Services,IT Services & Consulting ,3.1,130,  ," Promotions / Appraisal, Work Life Balance, Work Satisfaction", Madurai +14 other locations
7938,Chakr Innovation,Industrial Machinery ,3.1,147,  ," Job Security, Promotions / Appraisal, Work Satisfaction", Gurgaon / Gurugram +7 other locations
7939,Veoneer India ,Auto Components ,4.0,117," Work Life Balance, Job Security, Skill Development / Learning ",, Bangalore / Bengaluru +3 other locations
7940,Funfirst Global Skillers,EdTech ,4.2,113," Job Security, Company Culture, Skill Development / Learning ",, Mumbai +20 other locations
7941,Express KCS,Marketing & Advertising ,3.7,113,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", New Delhi +8 other locations
7942,AGC Networks,IT Services & Consulting ,3.6,113,  ," Salary & Benefits, Promotions / Appraisal, Work Life Balance", Mumbai +13 other locations
7943,Municipal Corporation of Greater Mumbai,Government ,3.6,113, Work Life Balance  ," Promotions / Appraisal, Work Satisfaction, Company Culture", Mumbai +2 other locations
7944,ZoomRx,Analytics & KPO ,3.0,113,  ," Promotions / Appraisal, Work Satisfaction, Work Life Balance", Chennai +4 other locations
7945,Sarvatra Technologies,FinTech ,4.2,114," Job Security, Company Culture, Work Life Balance ",, Pune +11 other locations
7946,Deepak Foundation,Non-Profit ,3.9,113," Company Culture, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Vadodara +26 other locations
7947,Cxc Infotech,Financial Services ,3.5,113,  ," Promotions / Appraisal, Salary & Benefits, Skill Development / Learning", Noida +3 other locations
7948,Genus Electrotech,Semiconductors ,3.5,113,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Gandhidham +13 other locations
7949,Growisto,Marketing & Advertising ,4.3,113," Company Culture, Skill Development / Learning, Work Satisfaction ",, Mumbai +2 other locations
7950,IMS Learning Resources,Education & Training ,3.6,113, Work Life Balance  ," Promotions / Appraisal, Work Satisfaction, Job Security", Mumbai +26 other locations
7951,Manipal Global Education Services,Education & Training ,3.5,113,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Bangalore / Bengaluru +12 other locations
7952,Lot Mobiles,Retail ,3.9,113," Company Culture, Skill Development / Learning  "," Promotions / Appraisal, Salary & Benefits", Hyderabad / Secunderabad +20 other locations
7953,MAP Systems,IT Services & Consulting ,3.1,113,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Bangalore / Bengaluru +5 other locations
7954,Smile Foundation,Non-Profit ,3.9,113," Work Life Balance, Skill Development / Learning, Work Satisfaction  "," Job Security, Promotions / Appraisal", New Delhi +25 other locations
7955,Cubic Transportation Systems,IT Services & Consulting ,3.6,113, Work Life Balance  ," Promotions / Appraisal, Skill Development / Learning, Company Culture", Hyderabad / Secunderabad +2 other locations
7956,Dentsu Communications,Pune +8 other locations,3.2,114,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
7957,Multitex Filtration Engineers,Industrial Machinery ,3.5,113,  ," Salary & Benefits, Promotions / Appraisal, Company Culture", New Delhi +2 other locations
7958,ICSIL,Telecom ,3.6,113,  ," Promotions / Appraisal, Job Security, Salary & Benefits", New Delhi +2 other locations
7959,Joannou & Paraskevaides,Engineering & Construction ,3.9,113," Job Security, Skill Development / Learning, Company Culture ",, Mumbai +20 other locations
7960,A.K.AUTOMATICS,Auto Components ,3.8,113, Skill Development / Learning  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Rohtak +9 other locations
7961,Perpetuuiti Technosoft Services,IT Services & Consulting ,3.9,113,  ," Promotions / Appraisal, Salary & Benefits", Pune +8 other locations
7962,Syscom Corporation,IT Services & Consulting ,4.1,113," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Noida +5 other locations
7963,Hester Biosciences,Biotechnology ,3.8,113, Work Life Balance  ," Promotions / Appraisal, Skill Development / Learning, Salary & Benefits", Ahmedabad +13 other locations
7964,Rahman Industries,Fashion & Textile ,4.1,113," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Kanpur +7 other locations
7965,Eye7 Chaudhary Eye Centre,Healthcare ,3.1,113,  ," Company Culture, Job Security, Work Satisfaction", New Delhi +6 other locations
7966,Garuda Aerospace,Internet ,3.5,113,  ," Job Security, Salary & Benefits, Company Culture", Chennai +7 other locations
7967,Pace IIT & Medical,Education & Training ,3.2,113,  ," Promotions / Appraisal, Job Security, Company Culture", Mumbai +21 other locations
7968,Logicash ,Financial Services ,3.5,113,  ," Salary & Benefits, Promotions / Appraisal, Job Security", Mumbai +27 other locations
7969,Crif High Mark Credit Information Services,Analytics & KPO ,3.1,113,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Pune +3 other locations
7970,Indian Institute of Management,Education & Training ,3.8,113," Work Life Balance, Company Culture  "," Promotions / Appraisal, Job Security, Salary & Benefits", Ahmedabad +21 other locations
7971,Indwell,Engineering & Construction ,3.6,113,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Vijayawada +19 other locations
7972,Beekay Steel Industries,Iron & Steel ,3.1,114,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Kolkata +12 other locations
7973,Spinks Softech,Auto Components ,4.3,113," Skill Development / Learning, Company Culture, Work Satisfaction ",, Gurgaon / Gurugram +9 other locations
7974,Shri Ram Murti Smarak Institute of Medical Sciences,Education & Training ,3.8,113, Skill Development / Learning  ," Promotions / Appraisal, Job Security, Salary & Benefits", Bareilly +5 other locations
7975,Being human,Fashion & Textile ,4.4,113," Work Life Balance, Company Culture, Work Satisfaction ",, Mumbai +34 other locations
7976,Oerlikon Balzers,Metals & Mining ,3.6,113,  ," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Pune +14 other locations
7977,Revolt Motors,Internet ,3.0,127,  ," Job Security, Promotions / Appraisal, Company Culture", Gurgaon / Gurugram +19 other locations
7978,CARS24 Financial Services,Gurgaon / Gurugram +26 other locations,3.4,119,  ," Promotions / Appraisal, Work Life Balance, Job Security",
7979,Katyayani Organics,Agriculture ,4.2,123," Skill Development / Learning, Company Culture, Work Satisfaction ",, Bhopal +1 other locations
7980,IBM Consulting,Bangalore / Bengaluru +10 other locations,3.8,114," Work Life Balance, Job Security, Skill Development / Learning  "," Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
7981,Institute of Chemical Technology,Mumbai +27 other locations,4.0,118," Work Satisfaction, Work Life Balance, Company Culture ",,
7982,Digiperform,Education & Training ,3.9,118," Work Life Balance, Company Culture, Work Satisfaction ",, New Delhi +10 other locations
7983,NDTV Network,Broadcasting ,3.9,112,  ," Promotions / Appraisal, Salary & Benefits", New Delhi +6 other locations
7984,LAKME ACADEMY,Beauty & Personal Care ,3.7,116," Work Life Balance, Work Satisfaction, Skill Development / Learning  "," Promotions / Appraisal, Job Security, Salary & Benefits", New Delhi +37 other locations
7985,Altigreen Propulsion Labs,Electronics Manufacturing ,3.6,126, Company Culture  ," Job Security, Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +12 other locations
7986,Tao Digital,IT Services & Consulting ,2.9,131,  ," Promotions / Appraisal, Work Satisfaction, Company Culture", Hyderabad / Secunderabad +5 other locations
7987,Lokal App,Internet ,3.6,117,  ," Job Security, Promotions / Appraisal, Company Culture", Bangalore / Bengaluru +12 other locations
7988,Self Coaching Classes,IT Services & Consulting ,4.5,117," Work Life Balance, Work Satisfaction, Job Security ",, New Delhi +38 other locations
7989,Delval Flow Controls,Industrial Machinery ,4.1,122," Job Security, Company Culture, Work Life Balance ",, Pune +8 other locations
7990,Maharashtra Feeds ,Agriculture ,3.3,117,  ," Job Security, Promotions / Appraisal, Skill Development / Learning", New Delhi +18 other locations
7991,HYOSUNG,Electronics Manufacturing ,3.6,124,  ," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Aurangabad +8 other locations
7992,Aarti Pharmalabs,Pharma ,3.7,143, Job Security  ," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Mumbai +11 other locations
7993,IG Infotech India,IT Services & Consulting ,3.4,119,  ," Job Security, Promotions / Appraisal, Skill Development / Learning", Bangalore / Bengaluru +5 other locations
7994,Freshers Universe,IT Services & Consulting ,4.3,114," Job Security, Company Culture, Work Life Balance ",, Bangalore / Bengaluru +20 other locations
7995,Gainwell Technologies,IT Services & Consulting ,4.0,124," Work Life Balance, Company Culture, Work Satisfaction  ", Promotions / Appraisal, Bangalore / Bengaluru +9 other locations
7996,Tracks Components,Pune +8 other locations,3.5,119,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
7997,Codeyoung,Internet ,3.5,160,  ," Work Life Balance, Work Satisfaction, Promotions / Appraisal", Bangalore / Bengaluru +3 other locations
7998,GlobalHunt,Recruitment ,3.0,113,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", New Delhi +12 other locations
7999,Techved Consulting,IT Services & Consulting ,3.4,112,  ," Job Security, Promotions / Appraisal, Salary & Benefits", Mumbai +7 other locations
8000,GLOBALFOUNDRIES,Semiconductors ,3.5,112,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Bangalore / Bengaluru +5 other locations
