iter	Passed	Remaining
909	71718	7093
910	71813	7015
911	71932	6940
912	72057	6866
913	72176	6791
914	72283	6714
915	72386	6638
916	72505	6562
917	72606	6485
918	72689	6406
919	72812	6331
920	72918	6254
921	73040	6179
922	73128	6100
923	73221	6022
924	73336	5946
925	73425	5867
926	73539	5791
927	73666	5715
928	73819	5641
929	73897	5562
930	74067	5489
931	74181	5412
932	74246	5331
933	74353	5254
934	74415	5173
935	74535	5096
936	74578	5014
937	74680	4936
938	74773	4857
939	74865	4778
940	75008	4702
941	75155	4627
942	75292	4551
943	75350	4469
944	75426	4389
945	75500	4309
946	75578	4229
947	75624	4148
948	75698	4068
949	75745	3986
950	75804	3905
951	75913	3827
952	76060	3751
953	76199	3674
954	76315	3596
955	76360	3514
956	76406	3433
957	76466	3352
958	76528	3271
959	76648	3193
960	76802	3116
961	76942	3039
962	77042	2960
963	77161	2881
964	77254	2801
965	77374	2723
966	77443	2642
967	77553	2563
968	77617	2483
969	77731	2404
970	77796	2323
971	77910	2244
972	77971	2163
973	78032	2083
974	78218	2005
975	78291	1925
976	78389	1845
977	78519	1766
978	78653	1687
979	78794	1608
980	78907	1528
981	78979	1447
982	79110	1368
983	79295	1289
984	79354	1208
985	79414	1127
986	79486	1046
987	79613	966
988	79760	887
989	79848	806
990	79923	725
991	79995	645
992	80039	564
993	80107	483
994	80218	403
995	80340	322
996	80457	242
997	80571	161
998	80674	80
999	80785	0
