,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
8355,Kearney, Gurgaon / Gurugram +7 other locations,Management Consulting ,3.8,116, Highly Rated For Salary & Benefits  ," Rated For Work Life Balance, Promotions / Appraisal, Work Satisfaction"
8356,Sms Integrated Facility Services, Mumbai +21 other locations,Facility Management Services ,4.2,124," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning ",
8357,Jse Engineering, Chennai +8 other locations,Engineering & Construction ,3.7,117, Highly Rated For Skill Development / Learning  ," Rated For Company Culture, Work Life Balance, Promotions / Appraisal"
8358,myTVS Parts & Accessories, Chennai +25 other locations,Auto Components ,4.0,113," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance ",
8359,Greaves Electric Mobility, Bangalore / Bengaluru +20 other locations,Automobile ,3.2,130,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
8360,HGS TECHNOLOGIES, Bangalore / Bengaluru +16 other locations,IT Services & Consulting ,4.2,107," Highly Rated For Job Security, Company Culture, Work Life Balance ",
8361,CG Corp Global,,Gurgaon / Gurugram +18 other locations,3.3,113,  ," Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning"
8362,MAJID AL FUTTAIM RETAIL, Gurgaon / Gurugram +11 other locations,Retail ,3.5,115,  ," Rated For Promotions / Appraisal, Job Security, Company Culture"
8363,Hombale Constructions and Estates, Bangalore / Bengaluru +6 other locations,Engineering & Construction ,4.4,110," Highly Rated For Work Life Balance, Job Security, Salary & Benefits ",
8364,Bhilai Iron And Steel Processing Company, Bhilai Nagar +6 other locations,Iron & Steel ,4.1,115," Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance  "," Rated For Promotions / Appraisal, Job Security"
8365,Dream India Schools, Lucknow +36 other locations,Education & Training ,3.6,110,  ," Rated For Company Culture, Promotions / Appraisal, Job Security"
8366,Nichino,,Hyderabad / Secunderabad +33 other locations,3.5,119,  ," Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
8367,Airpay Payment Services, Mumbai +39 other locations,FinTech ,2.9,116,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
8368,builder.ai,,Gurgaon / Gurugram +5 other locations,2.5,114,  ," Rated For Job Security, Promotions / Appraisal, Work Satisfaction"
8369,REC Power Development and Consultancy,,Gurgaon / Gurugram +32 other locations,4.0,121," Highly Rated For Work Life Balance, Salary & Benefits, Company Culture  "," Rated For Job Security, Promotions / Appraisal"
8370,Victora Industries,,Faridabad +9 other locations,3.7,140,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
8371,Zopsmart Technology, Bangalore / Bengaluru +7 other locations,Software Product ,3.1,109,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
8372,Jse Engineering, Chennai +8 other locations,Engineering & Construction ,3.7,117, Highly Rated For Skill Development / Learning  ," Rated For Company Culture, Work Life Balance, Promotions / Appraisal"
8373,myTVS Parts & Accessories, Chennai +25 other locations,Auto Components ,4.0,113," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance ",
8374,Greaves Electric Mobility, Bangalore / Bengaluru +20 other locations,Automobile ,3.2,130,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
8375,Sms Integrated Facility Services, Mumbai +21 other locations,Facility Management Services ,4.2,124," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning ",
8376,Finicity, Mumbai +3 other locations,Financial Services ,3.5,107,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
8377,TripFactory, Bangalore / Bengaluru +13 other locations,Internet ,2.2,107,  ," Rated For Job Security, Promotions / Appraisal, Work Life Balance"
8378,Essel Infraprojects, New Delhi +20 other locations,Engineering & Construction ,3.8,107,  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
8379,Global Market Insights, Pune +3 other locations,Analytics & KPO ,2.8,107,  ," Rated For Job Security, Work Satisfaction, Promotions / Appraisal"
8380,Conviction HR, Mumbai +11 other locations,Recruitment ,3.7,108,  ," Rated For Company Culture, Work Life Balance, Job Security"
8381,The Judge Group, Noida +7 other locations,Recruitment ,3.3,107,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
8382,Smile Electronics, Bangalore / Bengaluru +3 other locations,Electronics Manufacturing ,3.4,107,  ," Rated For Promotions / Appraisal, Company Culture, Salary & Benefits"
8383,MCaffeine, Mumbai +17 other locations,Beauty & Personal Care ,3.4,107,  ," Rated For Work Life Balance, Job Security, Work Satisfaction"
8384,GREEN POWER INTERNATIONAL, Noida +24 other locations,Oil & Gas ,4.3,107," Highly Rated For Work Life Balance, Job Security, Salary & Benefits ",
8385,Rajagiri Hospital, Kochi +8 other locations,Healthcare ,4.2,107," Highly Rated For Company Culture, Skill Development / Learning, Job Security  ", Rated For Promotions / Appraisal
8386,Cambridge Technology Enterprises, Hyderabad / Secunderabad +4 other locations,IT Services & Consulting ,3.4,107,  ," Rated For Salary & Benefits, Job Security, Promotions / Appraisal"
8387,Saifee Hospital, Mumbai +5 other locations,Healthcare ,3.5,107,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
8388,Dembla Valves, Mumbai +12 other locations,Industrial Machinery ,3.3,107,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
8389,Jindal Stainless Steelway, Gurgaon / Gurugram +18 other locations,Iron & Steel ,4.1,107," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
8390,Bharatiya Vidya Bhavan, Nagpur +33 other locations,Education & Training ,4.1,107," Highly Rated For Company Culture, Skill Development / Learning, Salary & Benefits ",
8391,Nuvento Systems, Kochi +8 other locations,IT Services & Consulting ,3.4,107,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
8392,Line O Matic Graphic Industries, Ahmedabad +3 other locations,Pulp & Paper ,3.8,107, Highly Rated For Salary & Benefits  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
8393,Accuster Technologies, New Delhi +6 other locations,Healthcare ,3.6,107,  ," Rated For Job Security, Salary & Benefits, Work Life Balance"
8394,Storia Foods, Mumbai +29 other locations,Beverage ,3.7,108, Highly Rated For Salary & Benefits ,
8395,Hellmann Worldwide Logistics, Gurgaon / Gurugram +15 other locations,Logistics ,4.2,107," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
8396,Indo European Educational Services, New Delhi +7 other locations,Education & Training ,3.9,107," Highly Rated For Work Life Balance, Job Security, Skill Development / Learning ",
8397,Nijji Healthcare, Kolkata +18 other locations,BPO ,4.2,107," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8398,Sun Flag Steel, Bhandara +9 other locations,Iron & Steel ,3.5,107,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
8399,Br.CAT International, Dammam +10 other locations,Oil & Gas ,3.7,107, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning"
8400,Euronics Industries, Gurgaon / Gurugram +17 other locations,Building Material ,3.8,107, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Work Satisfaction"
8401,Paramount, Vadodara +27 other locations,IT Services & Consulting ,3.1,107,  ," Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning"
8402,Al Bawani Co., Riyadh +7 other locations,Engineering & Construction ,3.8,107, Highly Rated For Job Security  , Rated For Promotions / Appraisal
8403,Hellmann Worldwide Logistics, Gurgaon / Gurugram +15 other locations,Logistics ,4.2,107," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
8404,Creative Info-link, Pune +26 other locations,IT Services & Consulting ,3.1,107,  ," Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning"
8405,S10 Healthcare Solutions, Chennai +5 other locations,Fitness & Wellness ,3.9,107," Highly Rated For Skill Development / Learning, Work Life Balance, Job Security ",
8406,NETPLUS Broadband Services, Ludhiana +16 other locations,Telecom ,3.6,107,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
8407,Axis Asset Management Company, Mumbai +47 other locations,Financial Services ,4.1,107," Highly Rated For Work Life Balance, Job Security, Skill Development / Learning ",
8408,Bennett University, Greater Noida +8 other locations,Education & Training ,4.1,107," Highly Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning  ", Rated For Promotions / Appraisal
8409,SATTRIX Information Security, Ahmedabad +10 other locations,IT Services & Consulting ,3.2,107,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
8410,Nijji Healthcare, Kolkata +18 other locations,BPO ,4.2,107," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8411,Guardian Healthcare Services, New Delhi +13 other locations,Fitness & Wellness ,3.8,107,  ," Rated For Job Security, Promotions / Appraisal"
8412,Argl,,Gurgaon / Gurugram +9 other locations,4.0,107," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction  ", Rated For Promotions / Appraisal
8413,Samvardhana Motherson Auto Component, Gurgaon / Gurugram +15 other locations,Electrical Equipment ,4.0,107," Highly Rated For Job Security, Skill Development / Learning ",
8414,Isgec Hitachi Zosen, Bharuch +6 other locations,Industrial Machinery ,3.5,107, Highly Rated For Job Security  ," Rated For Company Culture, Work Life Balance, Work Satisfaction"
8415,Br.CAT International, Dammam +10 other locations,Oil & Gas ,3.7,107, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning"
8416,Sun Flag Steel, Bhandara +9 other locations,Iron & Steel ,3.5,107,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
8417,Ceigall,,Ludhiana +18 other locations,3.6,107,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
8418,Government Polytechnic College, Bangalore / Bengaluru +58 other locations,Education & Training ,4.5,107," Highly Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning  ", Rated For Promotions / Appraisal
8419,TFG Vacations, New Delhi +11 other locations,Travel & Tourism ,4.3,107," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8420,Trimed Solutions India, Hyderabad / Secunderabad +10 other locations,Medical Equipment ,3.7,110,  ," Rated For Promotions / Appraisal, Job Security, Salary & Benefits"
8421,Foodhub, Chennai +3 other locations,Software Product ,4.0,110," Highly Rated For Company Culture, Salary & Benefits, Work Life Balance ",
8422,TELUS Health, Gurgaon / Gurugram +4 other locations,Recruitment ,4.0,107," Highly Rated For Job Security, Work Life Balance, Company Culture  "," Rated For Salary & Benefits, Promotions / Appraisal"
8423,APAC Financial Services, Mumbai +51 other locations,Financial Services ,4.1,122," Highly Rated For Work Life Balance, Salary & Benefits, Company Culture ",
8424,Topre India, Ahmedabad +8 other locations,Auto Components ,4.1,130," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8425,Fortune Business Insights,,Pune +4 other locations,3.7,106," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
8426,GIRDHARI LAL CONSTRUCTIONS,,New Delhi +23 other locations,3.7,120,  ," Rated For Job Security, Work Life Balance, Promotions / Appraisal"
8427,MENSA, Bangalore / Bengaluru +12 other locations,Investment Banking / Venture Capital / Private Equity ,3.2,120,  ," Rated For Promotions / Appraisal, Job Security, Work Life Balance"
8428,Clearwater Analytics, Noida +3 other locations,Internet ,2.8,124,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
8429,Life Care Logistic,,Pune +19 other locations,3.8,112,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
8430,Specsmakers Opticians, Chennai +14 other locations,Retail ,3.8,112, Highly Rated For Salary & Benefits  , Rated For Promotions / Appraisal
8431,Amalgam Steel, Jamshedpur +5 other locations,Iron & Steel ,3.8,110," Highly Rated For Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
8432,Maven Wave Partners, Gurgaon / Gurugram +4 other locations,IT Services & Consulting ,4.1,106," Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture ",
8433,Web Synergies, Hyderabad / Secunderabad +9 other locations,IT Services & Consulting ,3.1,106,  ," Rated For Promotions / Appraisal, Company Culture, Job Security"
8434,Adaequare, Hyderabad / Secunderabad +3 other locations,IT Services & Consulting ,3.9,105," Highly Rated For Work Life Balance, Skill Development / Learning ",
8435,Government Of Tamilnadu, Chennai +26 other locations,Government ,3.9,108," Highly Rated For Work Life Balance, Work Satisfaction  ", Rated For Promotions / Appraisal
8436,eSense Learning, Mumbai +18 other locations,EdTech ,3.7,106," Highly Rated For Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
8437,Idom, New Delhi +3 other locations,Engineering & Construction ,4.3,106," Highly Rated For Work Life Balance, Job Security, Company Culture ",
8438,Adnet Global, Mumbai +4 other locations,Animation & VFX ,2.8,106,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
8439,HH Global, Mumbai +10 other locations,IT Services & Consulting ,4.0,106," Highly Rated For Work Life Balance, Job Security, Company Culture  ", Rated For Promotions / Appraisal
8440,Marc Laboratories, Lucknow +19 other locations,Healthcare ,3.0,106,  ," Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning"
8441,ERA's Lucknow Medical College & Hospital, Lucknow +2 other locations,Education & Training ,4.0,106," Highly Rated For Work Life Balance, Job Security, Company Culture ",
8442,Victoria's Secret, Bangalore / Bengaluru +6 other locations,IT Services & Consulting ,4.1,105," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
8443,The Digital Group Infotech, Pune +2 other locations,IT Services & Consulting ,3.5,106, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Work Satisfaction, Company Culture"
8444,Princeware, Mumbai +20 other locations,Petrochemicals ,3.3,106,  ," Rated For Salary & Benefits, Company Culture, Promotions / Appraisal"
8445,Surya Hospital, Mumbai +19 other locations,Healthcare ,3.5,107,  ," Rated For Promotions / Appraisal, Salary & Benefits, Job Security"
8446,TeamLease Staffing Solutions, Bangalore / Bengaluru +29 other locations,Internet ,3.4,106,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
8447,Sicagen, Chennai +27 other locations,Building Material ,3.8,106," Highly Rated For Job Security, Company Culture  "," Rated For Promotions / Appraisal, Salary & Benefits"
8448,Nimap Infotech, Mumbai +3 other locations,IT Services & Consulting ,3.4,106, Highly Rated For Skill Development / Learning  ," Rated For Job Security, Promotions / Appraisal, Salary & Benefits"
8449,La opala rg, Sitarganj +17 other locations,Retail ,3.6,106,  ," Rated For Promotions / Appraisal, Skill Development / Learning, Company Culture"
8450,Bioworld Merchandising, Gurgaon / Gurugram +7 other locations,Retail ,3.7,106, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Skill Development / Learning"
8451,REVA University, Bangalore / Bengaluru +2 other locations,Education & Training ,3.9,106," Highly Rated For Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
8452,TAM Media Research, Vadodara +11 other locations,Analytics & KPO ,3.8,106," Highly Rated For Company Culture, Job Security, Work Life Balance  "," Rated For Salary & Benefits, Promotions / Appraisal, Skill Development / Learning"
8453,B. E. Billimoria, Mumbai +13 other locations,Engineering & Construction ,4.1,106," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
8454,Electrostar Electronics,,Noida +49 other locations,3.8,106," Highly Rated For Skill Development / Learning, Salary & Benefits  "," Rated For Promotions / Appraisal, Job Security"
8455,Customer Analytics, Chennai +7 other locations,IT Services & Consulting ,3.9,106," Highly Rated For Work Life Balance, Salary & Benefits, Company Culture ",
8456,Inspace Technologies, Chennai +14 other locations,Software Product ,3.9,106," Highly Rated For Work Life Balance, Work Satisfaction  "," Rated For Promotions / Appraisal, Salary & Benefits"
8457,Amplifon, Gurgaon / Gurugram +27 other locations,Medical Equipment ,3.8,106,  ," Rated For Promotions / Appraisal, Job Security, Skill Development / Learning"
8458,Ministry of Rural Development India, New Delhi +52 other locations,Government ,4.1,106," Highly Rated For Work Life Balance, Skill Development / Learning  "," Rated For Promotions / Appraisal, Job Security"
8459,Indian Potash, Muzaffarnagar +30 other locations,Agro Chemicals ,3.7,106," Highly Rated For Job Security, Work Life Balance  "," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
8460,Specsmakers Opticians, Chennai +14 other locations,Retail ,3.8,112, Highly Rated For Salary & Benefits  , Rated For Promotions / Appraisal
8461,Indian Potash, Muzaffarnagar +30 other locations,Agro Chemicals ,3.7,106," Highly Rated For Job Security, Work Life Balance  "," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
8462,Information Evolution, Coimbatore +4 other locations,IT Services & Consulting ,3.5,106, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Job Security, Skill Development / Learning"
8463,HH Global, Mumbai +10 other locations,IT Services & Consulting ,4.0,106," Highly Rated For Work Life Balance, Job Security, Company Culture  ", Rated For Promotions / Appraisal
8464,REVA University, Bangalore / Bengaluru +2 other locations,Education & Training ,3.9,106," Highly Rated For Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
8465,Bioworld Merchandising, Gurgaon / Gurugram +7 other locations,Retail ,3.7,106, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Skill Development / Learning"
8466,Adnet Global, Mumbai +4 other locations,Animation & VFX ,2.8,106,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
8467,Marc Laboratories, Lucknow +19 other locations,Healthcare ,3.0,106,  ," Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning"
8468,ERA's Lucknow Medical College & Hospital, Lucknow +2 other locations,Education & Training ,4.0,106," Highly Rated For Work Life Balance, Job Security, Company Culture ",
8469,Malpani Group, Pune +12 other locations,Power ,4.1,106," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
8470,Victoria's Secret, Bangalore / Bengaluru +6 other locations,IT Services & Consulting ,4.1,105," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
8471,C H Robinson Worldwide Freight,,Mumbai +21 other locations,3.7,107,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
8472,Indivillage Tech Solutions, Yemmiganur +9 other locations,IT Services & Consulting ,3.7,106,  ," Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
8473,eSense Learning, Mumbai +18 other locations,EdTech ,3.7,106," Highly Rated For Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
8474,Idom, New Delhi +3 other locations,Engineering & Construction ,4.3,106," Highly Rated For Work Life Balance, Job Security, Company Culture ",
8475,Comed Chemicals, Vadodara +22 other locations,Pharma ,3.4,106,  ," Rated For Promotions / Appraisal, Job Security, Skill Development / Learning"
8476,Express Housekeeper, Kolkata +21 other locations,Facility Management Services ,3.8,106,  , Rated For Promotions / Appraisal
8477,Oswal Infrastructure, Ahmedabad +10 other locations,Real Estate ,3.7,106,  ," Rated For Company Culture, Promotions / Appraisal, Work Satisfaction"
8478,DEC Property Management, New Delhi +13 other locations,Facility Management Services ,4.3,106," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8479,Artson Engineering, Hyderabad / Secunderabad +18 other locations,Engineering & Construction ,4.1,106," Highly Rated For Job Security, Work Satisfaction, Company Culture  ", Rated For Promotions / Appraisal
8480,Superon Schweisstechnik India, Gurgaon / Gurugram +11 other locations,Electronics Manufacturing ,4.1,106," Highly Rated For Salary & Benefits, Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Skill Development / Learning"
8481,Rathi Transpower, Pune +5 other locations,Industrial Machinery ,3.9,106," Highly Rated For Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Salary & Benefits"
8482,Smc Pneumatics India, Noida +15 other locations,Industrial Machinery ,4.2,106," Highly Rated For Job Security, Work Life Balance, Salary & Benefits  "," Rated For Work Satisfaction, Skill Development / Learning"
8483,EMDAD LLC, Mumbai +12 other locations,Oil & Gas ,4.1,106," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8484,Msi Services, Bangalore / Bengaluru +6 other locations,IT Services & Consulting ,3.3,106, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
8485,Anvil Cables, Kolkata +20 other locations,Semiconductors ,4.3,106," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8486,Sarita Handa Exports, Gurgaon / Gurugram +8 other locations,Architecture & Interior Design ,3.6,106,  ," Rated For Promotions / Appraisal, Work Satisfaction, Work Life Balance"
8487,Nangia & Co. LLP, New Delhi +17 other locations,Accounting & Auditing ,3.7,106, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
8488,Tekshapers Software Solutions, Noida +8 other locations,IT Services & Consulting ,3.2,106,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
8489,Digitas, Mumbai +10 other locations,Marketing & Advertising ,3.6,106, Highly Rated For Company Culture  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
8490,Rockman Group,,Tirupati +16 other locations,3.9,106," Highly Rated For Skill Development / Learning, Job Security  ", Rated For Promotions / Appraisal
8491,Dewar's Garage, Kolkata,Automobile ,3.4,106,  ," Rated For Job Security, Company Culture, Work Life Balance"
8492,Hamad Medical Corporation, Doha +6 other locations,Healthcare ,4.1,106," Highly Rated For Work Life Balance, Company Culture, Job Security  ", Rated For Promotions / Appraisal
8493,Kewaunee Labway, Bangalore / Bengaluru +9 other locations,Furniture & Furnishing ,4.1,106," Highly Rated For Job Security, Salary & Benefits, Company Culture  ", Rated For Promotions / Appraisal
8494,Crimsoune Club, New Delhi +28 other locations,Fashion & Textile ,4.1,107," Highly Rated For Work Life Balance, Work Satisfaction, Job Security  ", Rated For Promotions / Appraisal
8495,Tata Motors Insurance Broking And Advisory Services, Mumbai +34 other locations,Insurance ,3.9,106," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
8496,OPTCL, Bhubaneswar +20 other locations,Power ,4.2,106," Highly Rated For Job Security, Work Life Balance, Company Culture ",
8497,Appsquadz Software , Noida +4 other locations,IT Services & Consulting ,3.5,106,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
8498,Bellfast Management, Bangalore / Bengaluru +20 other locations,Recruitment ,4.2,106," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8499,Rkc Infrabuilt, Ahmedabad +13 other locations,Engineering & Construction ,3.4,106,  ," Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
8500,Anik Milk Products,,Indore +22 other locations,3.9,106, Highly Rated For Skill Development / Learning  ," Rated For Promotions / Appraisal, Job Security"
8501,Tata Docomo, Hyderabad / Secunderabad +52 other locations,Telecom ,4.6,106," Highly Rated For Company Culture, Work Life Balance, Promotions / Appraisal ",
8502,New Holland,,Noida +22 other locations,4.1,112," Highly Rated For Work Satisfaction, Company Culture, Skill Development / Learning ",
8503,V S International, Daman & Diu +12 other locations,Pharma ,3.8,114," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
8504,Varian Medical Systems, Pune +7 other locations,Medical Equipment ,3.7,105," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
8505,Marquistech,,Noida +11 other locations,3.7,105,  ," Rated For Company Culture, Job Security, Promotions / Appraisal"
8506,Swarovski India, Pune +18 other locations,Jewellery ,4.0,105," Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture  ", Rated For Promotions / Appraisal
8507,Tupperware, Dehradun +17 other locations,Retail ,3.4,105,  ," Rated For Promotions / Appraisal, Job Security, Skill Development / Learning"
8508,EDUGORILLA COMMUNITY, Lucknow +2 other locations,Education & Training ,3.5,109,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
8509,21K School, Bangalore / Bengaluru +8 other locations,EdTech ,3.8,106, Highly Rated For Skill Development / Learning  ," Rated For Job Security, Promotions / Appraisal, Salary & Benefits"
8510,Apollo Supply Chain, Gurgaon / Gurugram +34 other locations,Logistics ,3.8,125," Highly Rated For Work Life Balance, Work Satisfaction, Salary & Benefits  ", Rated For Promotions / Appraisal
8511,Indus Cosmeceuticals, Faridabad +4 other locations,Beauty & Personal Care ,3.9,110," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning ",
8512,Jakson Green,,Noida +20 other locations,4.4,134," Highly Rated For Job Security, Work Satisfaction, Company Culture ",
8513,SEPC Limited, Chennai +17 other locations,Oil & Gas ,4.2,105," Highly Rated For Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
8514,Tilaknagar Industries Ltd., Mumbai +17 other locations,Beverage ,4.0,106," Highly Rated For Work Life Balance, Job Security ",
8515,Cello, Mumbai +20 other locations,Retail ,3.2,105,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
8516,Mahindra Aerospace, Bangalore / Bengaluru +7 other locations,Defence & Aerospace ,4.0,105," Highly Rated For Work Life Balance, Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
8517,Linamar,,Pune +3 other locations,3.8,106,  ," Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction"
8518,Rave Technologies, Mumbai +4 other locations,IT Services & Consulting ,3.7,106, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
8519,Ideas 4 Transformation,,Mumbai +17 other locations,3.1,111,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
8520,Tupperware, Dehradun +17 other locations,Retail ,3.4,105,  ," Rated For Promotions / Appraisal, Job Security, Skill Development / Learning"
8521,Varian Medical Systems, Pune +7 other locations,Medical Equipment ,3.7,105," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
8522,Nath Bio - Genes, Aurangabad +21 other locations,Agro Chemicals ,4.1,105," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8523,Synergy Systems & Solutions, Faridabad +16 other locations,Industrial Automation ,3.9,105," Highly Rated For Company Culture, Job Security, Work Life Balance ",
8524,SKDRDP, Bangalore / Bengaluru +38 other locations,Non-Profit ,4.3,105," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
8525,Sustainable Agro-commercial Finance, Mumbai +35 other locations,NBFC ,4.5,105," Highly Rated For Work Life Balance, Company Culture, Job Security ",
8526,Coslight India Telecom, Gurgaon / Gurugram +25 other locations,Telecom ,4.2,105,  ," Rated For Job Security, Company Culture, Work Satisfaction"
8527,Cascade Revenue Management, Kochi +7 other locations,IT Services & Consulting ,3.1,105,  ," Rated For Promotions / Appraisal, Job Security, Company Culture"
8528,Chumbak Design, Bangalore / Bengaluru +21 other locations,Retail ,3.5,105," Highly Rated For Work Life Balance, Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
8529,Rivulis Irrigation, Vadodara +28 other locations,Agriculture ,4.3,105,  ," Rated For Salary & Benefits, Job Security, Promotions / Appraisal"
8530,Revature, Chennai +7 other locations,IT Services & Consulting ,3.5,105," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
8531,DNV GL, Mumbai +14 other locations,IT Services & Consulting ,4.3,105," Highly Rated For Work Life Balance, Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
8532,Mahindra Aerospace, Bangalore / Bengaluru +7 other locations,Defence & Aerospace ,4.0,105,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
8533,Cello, Mumbai +20 other locations,Retail ,3.2,105," Highly Rated For Job Security, Skill Development / Learning, Company Culture ",
8534,Freudenberg Gala Household Product, Mumbai +19 other locations,Consumer Electronics & Appliances ,4.2,105," Highly Rated For Work Life Balance, Skill Development / Learning  ", Rated For Promotions / Appraisal
