,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
101,L&T Technology Services, Bangalore / Bengaluru +76 other locations,IT Services & Consulting ,3.3,5.4k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
102,Standard Chartered, Chennai +67 other locations,Banking ,3.6,5k,  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
103,Coforge, Noida +94 other locations,IT Services & Consulting ,3.3,5.3k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
104,Firstsource Solutions, Bangalore / Bengaluru +65 other locations,BPO ,3.6,4.9k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
105,CGI Group, Bangalore / Bengaluru +41 other locations,IT Services & Consulting ,4.0,4.9k," Highly Rated For Work Life Balance, Job Security, Company Culture  "," Rated For Promotions / Appraisal, Salary & Benefits"
106,GlobalLogic, Hyderabad / Secunderabad +53 other locations,IT Services & Consulting ,3.6,4.9k, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
107,ICICI Lombard General Insurance Company, Mumbai +292 other locations,Insurance ,3.6,4.8k,  ," Rated For Promotions / Appraisal, Work Satisfaction, Work Life Balance"
108,Cyient, Hyderabad / Secunderabad +42 other locations,IT Services & Consulting ,3.7,4.8k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
109,Ashok Leyland, Chennai +230 other locations,Automobile ,4.1,4.8k," Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction  ", Rated For Promotions / Appraisal
110,BigBasket, Bangalore / Bengaluru +125 other locations,Internet ,3.9,4.8k," Highly Rated For Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
111,Citicorp, Pune +65 other locations,Financial Services ,3.7,4.7k, Highly Rated For Salary & Benefits  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
112, UST, Bangalore / Bengaluru +48 other locations,IT Services & Consulting ,3.8,4.7k, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Salary & Benefits"
113,Mahindra Finance, Mumbai +689 other locations,NBFC ,4.1,4.7k," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  ", Rated For Promotions / Appraisal
114,DMart, Mumbai +229 other locations,Retail ,3.9,4.9k," Highly Rated For Job Security, Company Culture  ", Rated For Promotions / Appraisal
115,Cholamandalam Investment & Finance, Chennai +735 other locations,Financial Services ,3.9,5k, Highly Rated For Salary & Benefits ,
116,SMFG India Credit, Mumbai +551 other locations,NBFC ,4.0,4.7k," Highly Rated For Salary & Benefits, Company Culture, Job Security ",
117,Hero MotoCorp, Gurgaon / Gurugram +336 other locations,Automobile ,4.1,4.6k," Highly Rated For Company Culture, Work Life Balance, Job Security ",
118,Apollo Hospitals, Chennai +201 other locations,Healthcare ,4.1,4.8k," Highly Rated For Job Security, Company Culture, Skill Development / Learning ",
119,JustDial, Noida +206 other locations,Internet ,3.5,4.6k,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
120,Manappuram Finance, Bangalore / Bengaluru +577 other locations,NBFC ,3.9,4.6k," Highly Rated For Promotions / Appraisal, Skill Development / Learning ",
121,Bosch Global Software Technologies, Bangalore / Bengaluru +36 other locations,IT Services & Consulting ,3.9,4.8k," Highly Rated For Work Life Balance, Job Security, Company Culture  "," Rated For Promotions / Appraisal, Salary & Benefits"
